mu,s,mean,var,varsample,meansample,ig_mu,ig_lambda,pAF0,pAF1,pAF2,pAF3,pAF4,pAF5,fit_ig_mu,fit_ig_lambda
3e-09,0.3,7.24112075408059e-09,1.87665451385726e-15,1.92633420084201e-14,7.025e-09,7.24112075408059e-09,3.04614065192355e-09,0.99731,0.00269,0,0,0,0,6.99824673904266e-09,2.67025189925051e-09
3e-09,0.5,2.9491824376647e-09,1.67510639058787e-16,6.30668244182442e-15,2.425e-09,2.9491824376647e-09,3.14477897622436e-09,0.99905,0.00095,0,0,0,0,2.99967792638097e-09,2.67025189925051e-09
3e-09,0.7,1.29649639653057e-09,1.36118777601692e-17,3.18590623406234e-15,1.275e-09,1.29649639653057e-09,3.0615409279496e-09,0.99949,0.00051,0,0,0,0,1.28565512570597e-09,2.67025189925051e-09
3e-09,0.9,3.32257106798314e-10,1.10114920938248e-19,9.37368748687487e-16,3.75e-10,3.32257106798314e-10,3.39236861258053e-09,0.99985,0.00015,0,0,0,0,3.33329356736329e-10,2.67025189925051e-09
1e-08,1e-06,8.20788976753631e-05,2.19767836994087e-05,2.19844732186202e-05,8.2087175e-05,8.20788976753631e-05,1.21722289037051e-08,0.90415,0.06656,0.0235,0.00395,0.00119,0.00065,9.22769703572168e-05,1.07388679667479e-08
1e-08,3e-06,8.01414353152794e-05,1.44041396066977e-05,1.44060368986576e-05,8.0153375e-05,8.01414353152794e-05,1.21354829088956e-08,0.90526,0.06561,0.02374,0.00373,0.00093,0.00073,9.06048160830218e-05,1.07388679667479e-08
1e-08,1e-05,9.61856209295774e-05,2.39139531955005e-05,2.3906569350777e-05,9.61884249999999e-05,9.61856209295774e-05,1.2190011020384e-08,0.9035,0.06657,0.02394,0.00402,0.00119,0.00078,8.5201010512416e-05,1.07388679667479e-08
1e-08,3e-05,8.16779320292488e-05,1.8297716906404e-05,1.83149991471089e-05,8.17069000000001e-05,8.16779320292488e-05,1.2161962561033e-08,0.90397,0.0669,0.02342,0.0041,0.00089,0.00072,7.27959391583071e-05,1.07388679667479e-08
1e-08,1e-04,8.55999215595072e-05,2.08457396788189e-05,2.08616175510416e-05,8.56334500000001e-05,8.55999215595072e-05,1.21724172777114e-08,0.90305,0.0682,0.0232,0.0037,0.00109,0.00076,4.82207970208769e-05,1.07388679667479e-08
1e-08,3e-04,3.3548951224534e-05,4.16894959815105e-06,4.17533246978882e-06,3.3552425e-05,3.3548951224534e-05,1.2156238792358e-08,0.90474,0.06674,0.02321,0.00382,0.00107,0.00042,2.45423208745319e-05,1.07388679667479e-08
1e-08,0.001,1.0670231846465e-05,4.12219782802096e-07,4.1444692105183e-07,1.0688825e-05,1.0670231846465e-05,1.21083451156946e-08,0.90624,0.06644,0.02275,0.0034,0.00097,2e-04,9.02225464639898e-06,1.07388679667479e-08
1e-08,0.003,3.57739773963551e-06,1.0663066744769e-08,1.06903980907153e-08,3.592875e-06,3.57739773963551e-06,1.21283663152883e-08,0.90842,0.06618,0.02165,0.00314,0.00059,2e-05,3.20883432525823e-06,1.07388679667479e-08
1e-08,0.01,1.00514233873683e-06,1.23242960751353e-10,1.23159398183982e-10,9.97100000000001e-07,1.00514233873683e-06,1.19804023550519e-08,0.91889,0.06287,0.01701,0.00121,2e-05,0,9.79587406507549e-07,1.07388679667479e-08
1e-08,0.03,3.23653475763568e-07,2.72929829123904e-12,3.51908535085351e-12,3.228e-07,3.23653475763568e-07,1.17300018038695e-08,0.94081,0.05334,0.00585,0,0,0,3.22214729264161e-07,1.07388679667479e-08
1e-08,0.1,8.89287130297317e-08,1.27395882018259e-13,3.59256541940419e-13,8.97750000000001e-08,8.89287130297317e-08,1.13126327444581e-08,0.97199,0.02787,0.00014,0,0,0,8.99131147453912e-08,1.07388679667479e-08
1e-08,0.3,2.32053070368543e-08,5.60576815454647e-15,5.76782542825428e-14,2.115e-08,2.32053070368543e-08,1.10185486837729e-08,0.99194,0.00806,0,0,0,0,2.33274891301422e-08,1.07388679667479e-08
1e-08,0.5,1.00891877013511e-08,5.85396372181099e-16,2.6020197701977e-14,1.025e-08,1.00891877013511e-08,1.0946498785893e-08,0.99594,0.00406,0,0,0,0,9.99892642126989e-09,1.07388679667479e-08
1e-08,0.7,4.27848607050727e-09,4.3628275895242e-17,1.2850128501285e-14,5e-09,4.27848607050727e-09,1.13927382196232e-08,0.99803,0.00197,0,0,0,0,4.28551708568656e-09,1.07388679667479e-08
1e-08,0.9,1.10925135003866e-09,3.79666101741011e-19,2.74881748817488e-15,1.1e-09,1.10925135003866e-09,1.34700308728836e-08,0.99956,0.00044,0,0,0,0,1.11109785578776e-09,1.07388679667479e-08
3e-08,1e-06,0.00028500145041404,7.39563094390088e-05,7.39383722202268e-05,0.000284986475,0.00028500145041404,5.30016417142765e-08,0.74007,0.17181,0.07138,0.0116,0.00278,0.00236,0.000276830911071651,5.91651517481089e-08
3e-08,3e-06,0.000306697423954741,7.83760288674797e-05,7.83530441724133e-05,0.000306726475,0.000306697423954741,5.31924823624535e-08,0.7402,0.17126,0.07103,0.01169,0.00339,0.00243,0.000271814448249066,5.91651517481089e-08
3e-08,1e-05,0.000284683890634159,7.09342573074114e-05,7.09169220994519e-05,0.000284654375,0.000284683890634159,5.31081722683575e-08,0.73983,0.17192,0.07099,0.01192,0.00294,0.0024,0.000255603031537248,5.91651517481089e-08
3e-08,3e-05,0.000267704496247245,6.17081098547623e-05,6.16591810193192e-05,0.0002676699,0.000267704496247245,5.30030773447012e-08,0.7403,0.1716,0.0705,0.01217,0.00321,0.00222,0.000218387817474922,5.91651517481089e-08
3e-08,1e-04,0.000221504513599797,4.77186227420695e-05,4.76673675180736e-05,0.000221439675,0.000221504513599797,5.29746435945043e-08,0.7408,0.17011,0.07197,0.01184,0.00315,0.00213,0.000144662391062631,5.91651517481089e-08
3e-08,3e-04,0.000107308924295685,1.41284080772135e-05,1.41284530767514e-05,0.000107293925,0.000107308924295685,5.29345659558038e-08,0.74354,0.17011,0.07034,0.01141,0.00313,0.00147,7.36269626235958e-05,5.91651517481089e-08
3e-08,0.001,3.35660905757133e-05,7.13146232772333e-07,7.16226138537905e-07,3.3591575e-05,3.35660905757133e-05,5.2874414046413e-08,0.74332,0.17276,0.0692,0.011,0.00302,7e-04,2.7066763939197e-05,5.91651517481089e-08
3e-08,0.003,1.01818447090225e-05,2.58510842945768e-08,2.57079936835768e-08,1.02056e-05,1.01818447090225e-05,5.20931365028169e-08,0.75318,0.17084,0.06526,0.00893,0.00176,3e-05,9.62650297577471e-06,5.91651517481089e-08
3e-08,0.01,3.04121341107938e-06,3.4852199891512e-10,3.58098625185627e-10,3.046025e-06,3.04121341107938e-06,5.09589368744754e-08,0.77489,0.16864,0.05263,0.00379,5e-05,0,2.93876221952265e-06,5.91651517481089e-08
